image,mask,case,slice
experiments\preprocessed_debug\images\adc_s000.png,experiments\preprocessed_debug\masks\adc_s000.png,adc,0
experiments\preprocessed_debug\images\adc_s001.png,experiments\preprocessed_debug\masks\adc_s001.png,adc,1
experiments\preprocessed_debug\images\adc_s002.png,experiments\preprocessed_debug\masks\adc_s002.png,adc,2
experiments\preprocessed_debug\images\adc_s003.png,experiments\preprocessed_debug\masks\adc_s003.png,adc,3
experiments\preprocessed_debug\images\adc_s004.png,experiments\preprocessed_debug\masks\adc_s004.png,adc,4
experiments\preprocessed_debug\images\adc_s005.png,experiments\preprocessed_debug\masks\adc_s005.png,adc,5
experiments\preprocessed_debug\images\adc_s006.png,experiments\preprocessed_debug\masks\adc_s006.png,adc,6
experiments\preprocessed_debug\images\adc_s007.png,experiments\preprocessed_debug\masks\adc_s007.png,adc,7
experiments\preprocessed_debug\images\adc_s008.png,experiments\preprocessed_debug\masks\adc_s008.png,adc,8
experiments\preprocessed_debug\images\adc_s009.png,experiments\preprocessed_debug\masks\adc_s009.png,adc,9
experiments\preprocessed_debug\images\adc_s010.png,experiments\preprocessed_debug\masks\adc_s010.png,adc,10
experiments\preprocessed_debug\images\adc_s011.png,experiments\preprocessed_debug\masks\adc_s011.png,adc,11
experiments\preprocessed_debug\images\adc_s012.png,experiments\preprocessed_debug\masks\adc_s012.png,adc,12
experiments\preprocessed_debug\images\adc_s013.png,experiments\preprocessed_debug\masks\adc_s013.png,adc,13
experiments\preprocessed_debug\images\adc_s014.png,experiments\preprocessed_debug\masks\adc_s014.png,adc,14
experiments\preprocessed_debug\images\adc_s015.png,experiments\preprocessed_debug\masks\adc_s015.png,adc,15
experiments\preprocessed_debug\images\adc_s016.png,experiments\preprocessed_debug\masks\adc_s016.png,adc,16
experiments\preprocessed_debug\images\adc_s017.png,experiments\preprocessed_debug\masks\adc_s017.png,adc,17
experiments\preprocessed_debug\images\adc_s018.png,experiments\preprocessed_debug\masks\adc_s018.png,adc,18
experiments\preprocessed_debug\images\adc_s019.png,experiments\preprocessed_debug\masks\adc_s019.png,adc,19
experiments\preprocessed_debug\images\adc_s020.png,experiments\preprocessed_debug\masks\adc_s020.png,adc,20
experiments\preprocessed_debug\images\adc_s021.png,experiments\preprocessed_debug\masks\adc_s021.png,adc,21
experiments\preprocessed_debug\images\adc_s022.png,experiments\preprocessed_debug\masks\adc_s022.png,adc,22
experiments\preprocessed_debug\images\adc_s023.png,experiments\preprocessed_debug\masks\adc_s023.png,adc,23
experiments\preprocessed_debug\images\adc_s024.png,experiments\preprocessed_debug\masks\adc_s024.png,adc,24
experiments\preprocessed_debug\images\adc_s025.png,experiments\preprocessed_debug\masks\adc_s025.png,adc,25
experiments\preprocessed_debug\images\adc_s026.png,experiments\preprocessed_debug\masks\adc_s026.png,adc,26
experiments\preprocessed_debug\images\adc_s027.png,experiments\preprocessed_debug\masks\adc_s027.png,adc,27
experiments\preprocessed_debug\images\adc_s028.png,experiments\preprocessed_debug\masks\adc_s028.png,adc,28
experiments\preprocessed_debug\images\adc_s029.png,experiments\preprocessed_debug\masks\adc_s029.png,adc,29
experiments\preprocessed_debug\images\adc_s030.png,experiments\preprocessed_debug\masks\adc_s030.png,adc,30
experiments\preprocessed_debug\images\adc_s031.png,experiments\preprocessed_debug\masks\adc_s031.png,adc,31
experiments\preprocessed_debug\images\adc_s032.png,experiments\preprocessed_debug\masks\adc_s032.png,adc,32
experiments\preprocessed_debug\images\adc_s033.png,experiments\preprocessed_debug\masks\adc_s033.png,adc,33
experiments\preprocessed_debug\images\adc_s034.png,experiments\preprocessed_debug\masks\adc_s034.png,adc,34
experiments\preprocessed_debug\images\adc_s035.png,experiments\preprocessed_debug\masks\adc_s035.png,adc,35
experiments\preprocessed_debug\images\adc_s036.png,experiments\preprocessed_debug\masks\adc_s036.png,adc,36
experiments\preprocessed_debug\images\adc_s037.png,experiments\preprocessed_debug\masks\adc_s037.png,adc,37
experiments\preprocessed_debug\images\adc_s038.png,experiments\preprocessed_debug\masks\adc_s038.png,adc,38
experiments\preprocessed_debug\images\adc_s039.png,experiments\preprocessed_debug\masks\adc_s039.png,adc,39
experiments\preprocessed_debug\images\adc_s040.png,experiments\preprocessed_debug\masks\adc_s040.png,adc,40
experiments\preprocessed_debug\images\adc_s041.png,experiments\preprocessed_debug\masks\adc_s041.png,adc,41
experiments\preprocessed_debug\images\adc_s042.png,experiments\preprocessed_debug\masks\adc_s042.png,adc,42
experiments\preprocessed_debug\images\adc_s043.png,experiments\preprocessed_debug\masks\adc_s043.png,adc,43
experiments\preprocessed_debug\images\adc_s044.png,experiments\preprocessed_debug\masks\adc_s044.png,adc,44
experiments\preprocessed_debug\images\adc_s045.png,experiments\preprocessed_debug\masks\adc_s045.png,adc,45
experiments\preprocessed_debug\images\adc_s046.png,experiments\preprocessed_debug\masks\adc_s046.png,adc,46
experiments\preprocessed_debug\images\adc_s047.png,experiments\preprocessed_debug\masks\adc_s047.png,adc,47
experiments\preprocessed_debug\images\adc_s048.png,experiments\preprocessed_debug\masks\adc_s048.png,adc,48
experiments\preprocessed_debug\images\adc_s049.png,experiments\preprocessed_debug\masks\adc_s049.png,adc,49
experiments\preprocessed_debug\images\adc_s050.png,experiments\preprocessed_debug\masks\adc_s050.png,adc,50
experiments\preprocessed_debug\images\adc_s051.png,experiments\preprocessed_debug\masks\adc_s051.png,adc,51
experiments\preprocessed_debug\images\adc_s052.png,experiments\preprocessed_debug\masks\adc_s052.png,adc,52
experiments\preprocessed_debug\images\adc_s053.png,experiments\preprocessed_debug\masks\adc_s053.png,adc,53
experiments\preprocessed_debug\images\adc_s054.png,experiments\preprocessed_debug\masks\adc_s054.png,adc,54
experiments\preprocessed_debug\images\adc_s055.png,experiments\preprocessed_debug\masks\adc_s055.png,adc,55
experiments\preprocessed_debug\images\adc_s056.png,experiments\preprocessed_debug\masks\adc_s056.png,adc,56
experiments\preprocessed_debug\images\adc_s057.png,experiments\preprocessed_debug\masks\adc_s057.png,adc,57
experiments\preprocessed_debug\images\adc_s058.png,experiments\preprocessed_debug\masks\adc_s058.png,adc,58
experiments\preprocessed_debug\images\adc_s059.png,experiments\preprocessed_debug\masks\adc_s059.png,adc,59
experiments\preprocessed_debug\images\adc_s060.png,experiments\preprocessed_debug\masks\adc_s060.png,adc,60
experiments\preprocessed_debug\images\adc_s061.png,experiments\preprocessed_debug\masks\adc_s061.png,adc,61
experiments\preprocessed_debug\images\adc_s062.png,experiments\preprocessed_debug\masks\adc_s062.png,adc,62
experiments\preprocessed_debug\images\adc_s063.png,experiments\preprocessed_debug\masks\adc_s063.png,adc,63
experiments\preprocessed_debug\images\adc_s064.png,experiments\preprocessed_debug\masks\adc_s064.png,adc,64
experiments\preprocessed_debug\images\adc_s065.png,experiments\preprocessed_debug\masks\adc_s065.png,adc,65
experiments\preprocessed_debug\images\adc_s066.png,experiments\preprocessed_debug\masks\adc_s066.png,adc,66
experiments\preprocessed_debug\images\adc_s067.png,experiments\preprocessed_debug\masks\adc_s067.png,adc,67
experiments\preprocessed_debug\images\adc_s068.png,experiments\preprocessed_debug\masks\adc_s068.png,adc,68
experiments\preprocessed_debug\images\adc_s069.png,experiments\preprocessed_debug\masks\adc_s069.png,adc,69
experiments\preprocessed_debug\images\adc_s070.png,experiments\preprocessed_debug\masks\adc_s070.png,adc,70
experiments\preprocessed_debug\images\adc_s071.png,experiments\preprocessed_debug\masks\adc_s071.png,adc,71
experiments\preprocessed_debug\images\adc_s072.png,experiments\preprocessed_debug\masks\adc_s072.png,adc,72
experiments\preprocessed_debug\images\adc_s073.png,experiments\preprocessed_debug\masks\adc_s073.png,adc,73
experiments\preprocessed_debug\images\adc_s074.png,experiments\preprocessed_debug\masks\adc_s074.png,adc,74
experiments\preprocessed_debug\images\adc_s075.png,experiments\preprocessed_debug\masks\adc_s075.png,adc,75
experiments\preprocessed_debug\images\adc_s076.png,experiments\preprocessed_debug\masks\adc_s076.png,adc,76
experiments\preprocessed_debug\images\adc_s077.png,experiments\preprocessed_debug\masks\adc_s077.png,adc,77
experiments\preprocessed_debug\images\adc_s078.png,experiments\preprocessed_debug\masks\adc_s078.png,adc,78
experiments\preprocessed_debug\images\adc_s079.png,experiments\preprocessed_debug\masks\adc_s079.png,adc,79
experiments\preprocessed_debug\images\adc_s080.png,experiments\preprocessed_debug\masks\adc_s080.png,adc,80
experiments\preprocessed_debug\images\adc_s081.png,experiments\preprocessed_debug\masks\adc_s081.png,adc,81
experiments\preprocessed_debug\images\adc_s082.png,experiments\preprocessed_debug\masks\adc_s082.png,adc,82
experiments\preprocessed_debug\images\adc_s083.png,experiments\preprocessed_debug\masks\adc_s083.png,adc,83
experiments\preprocessed_debug\images\adc_s084.png,experiments\preprocessed_debug\masks\adc_s084.png,adc,84
experiments\preprocessed_debug\images\adc_s085.png,experiments\preprocessed_debug\masks\adc_s085.png,adc,85
experiments\preprocessed_debug\images\adc_s086.png,experiments\preprocessed_debug\masks\adc_s086.png,adc,86
experiments\preprocessed_debug\images\adc_s087.png,experiments\preprocessed_debug\masks\adc_s087.png,adc,87
experiments\preprocessed_debug\images\adc_s088.png,experiments\preprocessed_debug\masks\adc_s088.png,adc,88
experiments\preprocessed_debug\images\adc_s089.png,experiments\preprocessed_debug\masks\adc_s089.png,adc,89
experiments\preprocessed_debug\images\adc_s090.png,experiments\preprocessed_debug\masks\adc_s090.png,adc,90
experiments\preprocessed_debug\images\adc_s091.png,experiments\preprocessed_debug\masks\adc_s091.png,adc,91
experiments\preprocessed_debug\images\adc_s092.png,experiments\preprocessed_debug\masks\adc_s092.png,adc,92
experiments\preprocessed_debug\images\adc_s093.png,experiments\preprocessed_debug\masks\adc_s093.png,adc,93
experiments\preprocessed_debug\images\adc_s094.png,experiments\preprocessed_debug\masks\adc_s094.png,adc,94
experiments\preprocessed_debug\images\adc_s095.png,experiments\preprocessed_debug\masks\adc_s095.png,adc,95
experiments\preprocessed_debug\images\adc_s096.png,experiments\preprocessed_debug\masks\adc_s096.png,adc,96
experiments\preprocessed_debug\images\adc_s097.png,experiments\preprocessed_debug\masks\adc_s097.png,adc,97
experiments\preprocessed_debug\images\adc_s098.png,experiments\preprocessed_debug\masks\adc_s098.png,adc,98
experiments\preprocessed_debug\images\adc_s099.png,experiments\preprocessed_debug\masks\adc_s099.png,adc,99
experiments\preprocessed_debug\images\adc_s100.png,experiments\preprocessed_debug\masks\adc_s100.png,adc,100
experiments\preprocessed_debug\images\adc_s101.png,experiments\preprocessed_debug\masks\adc_s101.png,adc,101
experiments\preprocessed_debug\images\adc_s102.png,experiments\preprocessed_debug\masks\adc_s102.png,adc,102
experiments\preprocessed_debug\images\adc_s103.png,experiments\preprocessed_debug\masks\adc_s103.png,adc,103
experiments\preprocessed_debug\images\adc_s104.png,experiments\preprocessed_debug\masks\adc_s104.png,adc,104
experiments\preprocessed_debug\images\adc_s105.png,experiments\preprocessed_debug\masks\adc_s105.png,adc,105
experiments\preprocessed_debug\images\adc_s106.png,experiments\preprocessed_debug\masks\adc_s106.png,adc,106
experiments\preprocessed_debug\images\adc_s107.png,experiments\preprocessed_debug\masks\adc_s107.png,adc,107
experiments\preprocessed_debug\images\adc_s108.png,experiments\preprocessed_debug\masks\adc_s108.png,adc,108
experiments\preprocessed_debug\images\adc_s109.png,experiments\preprocessed_debug\masks\adc_s109.png,adc,109
experiments\preprocessed_debug\images\adc_s110.png,experiments\preprocessed_debug\masks\adc_s110.png,adc,110
experiments\preprocessed_debug\images\adc_s111.png,experiments\preprocessed_debug\masks\adc_s111.png,adc,111
experiments\preprocessed_debug\images\adc_s112.png,experiments\preprocessed_debug\masks\adc_s112.png,adc,112
experiments\preprocessed_debug\images\adc_s113.png,experiments\preprocessed_debug\masks\adc_s113.png,adc,113
experiments\preprocessed_debug\images\adc_s114.png,experiments\preprocessed_debug\masks\adc_s114.png,adc,114
experiments\preprocessed_debug\images\adc_s115.png,experiments\preprocessed_debug\masks\adc_s115.png,adc,115
experiments\preprocessed_debug\images\adc_s116.png,experiments\preprocessed_debug\masks\adc_s116.png,adc,116
experiments\preprocessed_debug\images\adc_s117.png,experiments\preprocessed_debug\masks\adc_s117.png,adc,117
experiments\preprocessed_debug\images\adc_s118.png,experiments\preprocessed_debug\masks\adc_s118.png,adc,118
experiments\preprocessed_debug\images\adc_s119.png,experiments\preprocessed_debug\masks\adc_s119.png,adc,119
experiments\preprocessed_debug\images\adc_s120.png,experiments\preprocessed_debug\masks\adc_s120.png,adc,120
experiments\preprocessed_debug\images\adc_s121.png,experiments\preprocessed_debug\masks\adc_s121.png,adc,121
experiments\preprocessed_debug\images\adc_s122.png,experiments\preprocessed_debug\masks\adc_s122.png,adc,122
experiments\preprocessed_debug\images\adc_s123.png,experiments\preprocessed_debug\masks\adc_s123.png,adc,123
experiments\preprocessed_debug\images\adc_s124.png,experiments\preprocessed_debug\masks\adc_s124.png,adc,124
experiments\preprocessed_debug\images\adc_s125.png,experiments\preprocessed_debug\masks\adc_s125.png,adc,125
experiments\preprocessed_debug\images\adc_s126.png,experiments\preprocessed_debug\masks\adc_s126.png,adc,126
experiments\preprocessed_debug\images\adc_s127.png,experiments\preprocessed_debug\masks\adc_s127.png,adc,127
experiments\preprocessed_debug\images\adc_s128.png,experiments\preprocessed_debug\masks\adc_s128.png,adc,128
experiments\preprocessed_debug\images\adc_s129.png,experiments\preprocessed_debug\masks\adc_s129.png,adc,129
experiments\preprocessed_debug\images\adc_s130.png,experiments\preprocessed_debug\masks\adc_s130.png,adc,130
experiments\preprocessed_debug\images\adc_s131.png,experiments\preprocessed_debug\masks\adc_s131.png,adc,131
experiments\preprocessed_debug\images\adc_s132.png,experiments\preprocessed_debug\masks\adc_s132.png,adc,132
experiments\preprocessed_debug\images\adc_s133.png,experiments\preprocessed_debug\masks\adc_s133.png,adc,133
experiments\preprocessed_debug\images\adc_s134.png,experiments\preprocessed_debug\masks\adc_s134.png,adc,134
experiments\preprocessed_debug\images\adc_s135.png,experiments\preprocessed_debug\masks\adc_s135.png,adc,135
experiments\preprocessed_debug\images\adc_s136.png,experiments\preprocessed_debug\masks\adc_s136.png,adc,136
experiments\preprocessed_debug\images\adc_s137.png,experiments\preprocessed_debug\masks\adc_s137.png,adc,137
experiments\preprocessed_debug\images\adc_s138.png,experiments\preprocessed_debug\masks\adc_s138.png,adc,138
experiments\preprocessed_debug\images\adc_s139.png,experiments\preprocessed_debug\masks\adc_s139.png,adc,139
experiments\preprocessed_debug\images\adc_s140.png,experiments\preprocessed_debug\masks\adc_s140.png,adc,140
experiments\preprocessed_debug\images\adc_s141.png,experiments\preprocessed_debug\masks\adc_s141.png,adc,141
experiments\preprocessed_debug\images\adc_s142.png,experiments\preprocessed_debug\masks\adc_s142.png,adc,142
experiments\preprocessed_debug\images\adc_s143.png,experiments\preprocessed_debug\masks\adc_s143.png,adc,143
experiments\preprocessed_debug\images\adc_s144.png,experiments\preprocessed_debug\masks\adc_s144.png,adc,144
experiments\preprocessed_debug\images\adc_s145.png,experiments\preprocessed_debug\masks\adc_s145.png,adc,145
experiments\preprocessed_debug\images\adc_s146.png,experiments\preprocessed_debug\masks\adc_s146.png,adc,146
experiments\preprocessed_debug\images\adc_s147.png,experiments\preprocessed_debug\masks\adc_s147.png,adc,147
experiments\preprocessed_debug\images\adc_s148.png,experiments\preprocessed_debug\masks\adc_s148.png,adc,148
experiments\preprocessed_debug\images\adc_s149.png,experiments\preprocessed_debug\masks\adc_s149.png,adc,149
experiments\preprocessed_debug\images\adc_s150.png,experiments\preprocessed_debug\masks\adc_s150.png,adc,150
experiments\preprocessed_debug\images\adc_s151.png,experiments\preprocessed_debug\masks\adc_s151.png,adc,151
experiments\preprocessed_debug\images\adc_s152.png,experiments\preprocessed_debug\masks\adc_s152.png,adc,152
experiments\preprocessed_debug\images\adc_s153.png,experiments\preprocessed_debug\masks\adc_s153.png,adc,153
experiments\preprocessed_debug\images\adc_s154.png,experiments\preprocessed_debug\masks\adc_s154.png,adc,154
experiments\preprocessed_debug\images\adc_s155.png,experiments\preprocessed_debug\masks\adc_s155.png,adc,155
experiments\preprocessed_debug\images\adc_s156.png,experiments\preprocessed_debug\masks\adc_s156.png,adc,156
experiments\preprocessed_debug\images\adc_s157.png,experiments\preprocessed_debug\masks\adc_s157.png,adc,157
experiments\preprocessed_debug\images\adc_s158.png,experiments\preprocessed_debug\masks\adc_s158.png,adc,158
experiments\preprocessed_debug\images\adc_s159.png,experiments\preprocessed_debug\masks\adc_s159.png,adc,159
experiments\preprocessed_debug\images\adc_s160.png,experiments\preprocessed_debug\masks\adc_s160.png,adc,160
experiments\preprocessed_debug\images\adc_s161.png,experiments\preprocessed_debug\masks\adc_s161.png,adc,161
experiments\preprocessed_debug\images\adc_s162.png,experiments\preprocessed_debug\masks\adc_s162.png,adc,162
experiments\preprocessed_debug\images\adc_s163.png,experiments\preprocessed_debug\masks\adc_s163.png,adc,163
experiments\preprocessed_debug\images\adc_s164.png,experiments\preprocessed_debug\masks\adc_s164.png,adc,164
experiments\preprocessed_debug\images\adc_s165.png,experiments\preprocessed_debug\masks\adc_s165.png,adc,165
experiments\preprocessed_debug\images\adc_s166.png,experiments\preprocessed_debug\masks\adc_s166.png,adc,166
