image,mask,case,slice
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s000.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s000.png,adc,0
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s001.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s001.png,adc,1
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s002.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s002.png,adc,2
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s003.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s003.png,adc,3
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s004.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s004.png,adc,4
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s005.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s005.png,adc,5
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s006.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s006.png,adc,6
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s007.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s007.png,adc,7
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s008.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s008.png,adc,8
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s009.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s009.png,adc,9
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s010.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s010.png,adc,10
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s011.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s011.png,adc,11
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s012.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s012.png,adc,12
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s013.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s013.png,adc,13
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s014.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s014.png,adc,14
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s015.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s015.png,adc,15
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s016.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s016.png,adc,16
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s017.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s017.png,adc,17
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s018.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s018.png,adc,18
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s019.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s019.png,adc,19
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s020.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s020.png,adc,20
/scratch/pg2825/mri/experiments/preprocessed_debug/images/adc_s021.png,/scratch/pg2825/mri/experiments/preprocessed_debug/masks/adc_s021.png,adc,21
